6798seven;Digits found: ['6', '7']; Number;67
six8b32csscsdgjsevenfivedlhzhc;Digits found: ['6', '5']; Number;65
fcvvkvjjnhfivesixfiveninesxlvnhfckc54;Digits found: ['5', '4']; Number;54
feightwo4twofivefour;Digits found: ['8', '4']; Number;84
cgpzm2sevenone68636;Digits found: ['2', '6']; Number;26
498879;Digits found: ['4', '9']; Number;49
fivetwo2plltvdfourhhgrfn;Digits found: ['5', '4']; Number;54
onertxzlzdnxn2seven;Digits found: ['1', '7']; Number;17
ninethree4v1five;Digits found: ['9', '5']; Number;95
5pnnss16lzbsmcckeightdseven;Digits found: ['5', '7']; Number;57
jthree249four2cjzqmmbrqnnine;Digits found: ['3', '9']; Number;39
foursixfourfbgvqm1rchdlmzhtzqqfjzpmln;Digits found: ['4', '1']; Number;41
twojtwoscbrtgmnqzvbfbzvrtkxhmf76nine;Digits found: ['2', '9']; Number;29
2fourtwo;Digits found: ['2', '2']; Number;22
svxz8bjvt5zzvjzhkmtmnnft92;Digits found: ['8', '2']; Number;82
threetffnjvkfh81nineqqshzdf2vtjfqjtbdv;Digits found: ['3', '2']; Number;32
seven1drfivethreedpqflxgdshlzmmnrb;Digits found: ['7', '3']; Number;73
7sggjxkcxfourthreefourtwos3nine;Digits found: ['7', '9']; Number;79
39t6rvkbdnfpssj6djnfbqklkgfsqbf;Digits found: ['3', '6']; Number;36
3four2zcfvtplkrbeight274;Digits found: ['3', '4']; Number;34
one7sixninesix;Digits found: ['1', '6']; Number;16
kkxmtmdthree6jrj6;Digits found: ['3', '6']; Number;36
81sevenmnine1llbqrsprc;Digits found: ['8', '1']; Number;81
5nine9qgjceight;Digits found: ['5', '8']; Number;58
three1sdmq9sevenfournine;Digits found: ['3', '9']; Number;39
khnlbmzhvlsix3;Digits found: ['6', '3']; Number;63
nineone6onesixvlnlxeightfive;Digits found: ['9', '5']; Number;95
schplznseveneightnlcxgr7four;Digits found: ['7', '4']; Number;74
6one1djcdmpdrgq3two;Digits found: ['6', '2']; Number;62
fourzhpnphmq52r813four;Digits found: ['4', '4']; Number;44
scsxjthreefoureight2fivepfmpfj8;Digits found: ['3', '8']; Number;38
69xvbxfffmr7one8gmch8;Digits found: ['6', '8']; Number;68
one8tfpgrdhm;Digits found: ['1', '8']; Number;18
2gxmhtfrbrkpdvlvsmdqrktxtrpssbrv933;Digits found: ['2', '3']; Number;23
4vfrtkdqlbtwordlbppsssp;Digits found: ['4', '2']; Number;42
2cjmtvnzpbkdcq5twofourtwo;Digits found: ['2', '2']; Number;22
2three5onetwogpfqtszbjh;Digits found: ['2', '2']; Number;22
hgvnine9four996;Digits found: ['9', '6']; Number;96
37142745;Digits found: ['3', '5']; Number;35
four73;Digits found: ['4', '3']; Number;43
8552ztclnd;Digits found: ['8', '2']; Number;82
onevmpd76eighth;Digits found: ['1', '8']; Number;18
threethree8;Digits found: ['3', '8']; Number;38
bgtwonedrmc35;Digits found: ['2', '5']; Number;25
23one;Digits found: ['2', '1']; Number;21
9lpxzhkck2five3qone9zgxzrzd;Digits found: ['9', '9']; Number;99
hs1;Digits found: ['1', '1']; Number;11
92xhflsixltpqprpfggbzrvmfqone4;Digits found: ['9', '4']; Number;94
eight9sevenpcxvl6two1;Digits found: ['8', '1']; Number;81
rceightwo6jc1nvllxsstqgnlhtl4;Digits found: ['8', '4']; Number;84
tlnhlsixfn3lbdlqztmkthreedllfourone;Digits found: ['6', '1']; Number;61
74five;Digits found: ['7', '5']; Number;75
dcfpstvxnd52kdqhlht;Digits found: ['5', '2']; Number;52
7onenine;Digits found: ['7', '9']; Number;79
2twothreehdzssrt1;Digits found: ['2', '1']; Number;21
eightseveneight54xflfspthreefsfbtbslx;Digits found: ['8', '3']; Number;83
4ffsfsvkxslvp;Digits found: ['4', '4']; Number;44
939flgbmvzpvfsmtcsix3;Digits found: ['9', '3']; Number;93
742;Digits found: ['7', '2']; Number;72
qcfive72plvnd7;Digits found: ['5', '7']; Number;57
5hhd8onejbsfklmpzcgffivenine;Digits found: ['5', '9']; Number;59
twodsmjkhdxjdgktlrteightseven2cttnpjsv;Digits found: ['2', '2']; Number;22
31kptdmtwojrgp;Digits found: ['3', '2']; Number;32
dnnmrflcft92;Digits found: ['9', '2']; Number;92
7gtglplfkrnine85xm7;Digits found: ['7', '7']; Number;77
voneightznktfvmxlhnine1seven4z;Digits found: ['1', '4']; Number;14
24sevenncdmcpkrvnxlbeightsixlrvns;Digits found: ['2', '6']; Number;26
38prmrxcm5;Digits found: ['3', '5']; Number;35
4vhncsevenjgvjllppvcfmvrlsdtkqcldpq;Digits found: ['4', '7']; Number;47
81phvtb;Digits found: ['8', '1']; Number;81
5l7twoeightlr;Digits found: ['5', '8']; Number;58
8xfqbnone5;Digits found: ['8', '5']; Number;85
62737sixfourdfqvdcone;Digits found: ['6', '1']; Number;61
seven1two;Digits found: ['7', '2']; Number;72
79qncxqcj1one3;Digits found: ['7', '3']; Number;73
69four3two7six2six;Digits found: ['6', '6']; Number;66
six499;Digits found: ['6', '9']; Number;69
gknlkqvntvmsjzlfb7one;Digits found: ['7', '1']; Number;71
honeightmjlmvmbxsmjzg77;Digits found: ['1', '7']; Number;17
6seven15;Digits found: ['6', '5']; Number;65
five59two91;Digits found: ['5', '1']; Number;51
gmhhtq9368gtsdg;Digits found: ['9', '8']; Number;98
